no,dev-id,alias,channel,mac_address,alias_info
145,ATK00162A836696,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Cifo Bandung",GOTV-Basic Lokal & International,00:16:2a:83:66:96,Cifo Bandung
105,ATK00162A836560,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari | Cottage Gandaria 45-2",Provisioning,00:16:2a:83:65:60,IBS P. Bidadari | Cottage Gandaria 45-2
103,ATK00162A836545,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:45,Stock stb from ibs ancol
109,ATK00162A83667D,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:66:7d,Stock stb from ibs ancol
101,ATK00162A836546,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra - PSS",GOTV-Basic Lokal & International,00:16:2a:83:65:46,Menara Astra - PSS
100,ATK00162A83659B,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:9b,Stock stb from ibs ancol
94,ATK00162A83665B,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:66:5b,Stock stb from ibs ancol
96,ATK00162A836659,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:66:59,Stock stb from ibs ancol
98,ATK00162A836548,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Duyung",GOTV-Basic Lokal & International,00:16:2a:83:65:48,IBS P. Duyung
91,ATK00162A8365DC,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:dc,Stock stb from ibs ancol
93,ATK00162A8365DD,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:dd,Stock stb from ibs ancol
99,ATK00162A836547,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:47,Stock stb from ibs ancol
95,ATK00162A8365DE,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:de,Stock stb from ibs ancol
88,ATK00162A83665D,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:66:5d,Stock stb from ibs ancol
89,ATK00162A8365DB,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:db,Stock stb from ibs ancol
97,ATK00162A83665E,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:66:5e,Stock stb from ibs ancol
85,ATK00162A836506,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:06,Stock stb from ibs ancol
90,ATK00162A8365DA,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:da,Stock stb from ibs ancol
82,ATK00162A836667,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:66:67,Stock stb from ibs ancol
92,ATK00162A83665C,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:66:5c,Stock stb from ibs ancol
83,ATK00162A836664,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:66:64,Stock stb from ibs ancol
164,ATK00162A83C5BD,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS Jambuluwuk | 107",5,00:16:2a:83:c5:bd,IBS Jambuluwuk | 107
84,ATK00162A836504,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:04,Stock stb from ibs ancol
80,ATK00162A836644,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:66:44,Stock stb from ibs ancol
81,ATK00162A836666,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:66:66,Stock stb from ibs ancol
